HSCode,Description,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
82053000,"Planes, chisels, gouges and similar cuttin   tools for working wood",PCS,7379,1239.460567,0.001239,231.491
82054000,Screwdrivers   .,PCS,36427,2678.579156,0.002679,533.035
82055100,Household hand tools  .,PCS,49528,2913.427141,0.002913,545.164
82055900,"Hand tools, nes (incl graziers' diamonds) . .",PCS,155104,14121.311395,0.014121,2223.928
82056000,Blow lamps,PCS,1104,110.42361,0.00011,20.597
82057000,"Vices, clamps and the like",PCS,1009,1602.950485,0.001603,281.694
82059000,"Other, including sets of articles of two or more subheadings of this heading.",PCS,25512,3129.860102,0.00313,471.606
82060000,"Tools of two or more of 8202 to 8205, pu t  p in sets for retail sale",PCS,7038,4996.301212,0.004996,1735.586
82071300,"Rock drilling or earth boring tools, with   orking part of cermets",PCS,20,6.20344,0.000006,1.158
82071900,"Rock drilling or earth boring tools (excl t ose with working part of cermets),inc",PCS,7699,11905.484563,0.011905,2197.942
82072000,Dies for drawing or extruding metal,PCS,2111,13122.520545,0.013123,2434.096
82073000,"Interchangeable tools for pressing, stampi  g or punching",PCS,1063,6370.045018,0.00637,1188.729
82074000,Interchangeable tools for tapping or threa  ing.,PCS,650,662.404706,0.000662,124.162
82075000,"Interchangeable tools for drilling, other   han for rock drilling",PCS,42411,9079.809886,0.00908,1681.974
82076000,Interchangeable tools for boring or broach  ng,PCS,17,1674.825904,0.001675,312.432
82077000,Interchangeable tools for milling,PCS,13071,541.382071,0.000541,102.098
82078000,Interchangeable tools for turning,PCS,126,466.764547,0.000467,87.168
82079000,"Interchangeable tools for hand or machine-  ools, nes",PCS,89999,6666.872323,0.006667,1244.165
82081000,"Knives and cutting blades, for metal worki  g machines",PCS,20429,1300.06842,0.0013,242.812
82082000,"Knives and cutting blades, for wood workin   machines",PCS,71015,5345.193546,0.005345,997.377
82083000,"Knives and cutting blades, for kitchen app  iances or for machine used by food in",PCS,57803,1318.364386,0.001318,349.178
82089000,"Knives and cutting blades, for machines or  mechanical appliances, nes",PCS,151311,17551.496031,0.017551,4270.85
82090000,"Plates, sticks tips & the like for tools,   nmounted, of cermets",Kg,161.6338,2682.607774,0.002683,493.533
82100000,"Hand-operated machanical appliances, =<10k  , used for food or drink.",PCS,8744,1514.886403,0.001515,282.633
82111000,"Sets of assorted knives, nes  . .",PCS,493,14.84229,0.000015,4.426
82119100,Table knives with fixed blades   .,PCS,5993,140.37488,0.00014,42.146
82119200,Knives with fixed blades (excl table kniv e ),PCS,39396,5204.322226,0.005204,1199.754
82119300,Knives(excl with fixed blades)   .,PCS,33139,2010.512139,0.002011,489.881
