HSCode,Description,Unit,Quantity,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion
53081000,Coir yarn of other vegetable textile fibre,Kg,1400,1542.08,0.001542
53082000,True hemp yarn of other vegetable textile   ibres,Kg,400,192,0.000192
53101000,Unbleached woven fabrics of jute or of oth  r textile bast fibre of heading 5303.,SQM,13198210,1066294.69767,1.066295
54023400,"Textured yarn of polypropylene, nprs  .",Kg,116273.089844,31530.70937,0.031531
54072000,Woven fabrics obtained from synthetic stri   or the like,SQM,19288752.285156,323173.68382,0.323174
55051000,"Waste of synthetic fibre, (incl noils, ya r  waste and garnetted stock)",Kg,32850,2110.775,0.002111
55092100,"Single yarn, with >=85% polyester staple f  bres, nprs",Kg,2799604.501495,703304.01347,0.703304
55092200,"Multiple or cabled yarn, with >=85% polyes  er staple fibres, nprs",Kg,498209.299011,130830.48801,0.13083
55093100,"Single yarn, with >=85% acrylic or modacry  ic staple fibres, nprs",Kg,131051.19873,70684.2985,0.070684
55093200,"Multiple or cabled yarn, >=85% acrylic or   odacrylic staple fibres, nprs",Kg,157504.199463,67690.51594,0.067691
55095100,"Other yarn, <85% polyester staple fibres,   ith artificial staple fibres, nprs",Kg,1705189.901337,543414.42559,0.543414
55095200,"Other yarn, <85% polyester staple fibres,   ith wool or fine animal hair, nprs",Kg,14657.100098,4881.9735,0.004882
55095300,"Other yarn, <85% polyester staple fibres,   ixed with cotton, nprs",Kg,8574.200195,3141.03825,0.003141
55095900,"Other yarn, <85% polyester staple fibres,   es, nprs",Kg,90385.5,21464.13812,0.021464
55101100,"Single yarn (other than sewing thread), wi  h >=85% artificial staple fibres, npr",Kg,136498.50061,48676.12711,0.048676
55101200,"Multiple or cabled yarn, with >=85% artifi  ial staple fibres, nprs",Kg,81535,31722.77807,0.031723
55109000,"Other yarn, with <85% artificial staple fi  res, nes, nprs",Kg,69861.800049,30775.46411,0.030775
56022100,"Felt of wool or fine animal hair (excl im p egnated, coated, etc)",Kg,13818.099995,17184.41975,0.017184
56022900,"Felt of textile materials (excl impregnat e , coated, etc)",Kg,30,583.12523,0.000583
56029000,"other Felt, whether or not impregnated, coated, covered or laminated. nes  .",Kg,159655.570139,619786.26749,0.619786
56072900,"Twine, cordage, rope and cables, of sisal,  etc, of the genus agave, nes.",PCS,27,3.89,0.000004
56074900,"Twine, cordage, rope and cables, of polyet  ylene or polypropylene",Kg,49310,11648.3805,0.011648
57011000,"Carpets and other textile floor coverings,  of wool or fine animal hair, knotted.",SQM,25025.042884,848930.74654,0.848931
57019000,"Carpets and other textile floor coverings,  of other textiles, knotted",SQM,1219.160023,7563.64052,0.007564
57024910,Carpets and floor covering of felt (Jamoth),SQM,128097.700462,59198.30413,0.059198
57024990,Carpets and floor covering of other textiles materials,SQM,2,6.93945,0.000007
57031000,Of wool or fine animal hair,SQM,7171.139935,28647.54466,0.028648
57032100,Turf,SQM,17668.67049,5020.86075,0.005021
57033900,carpet & other textile floor coverings of other man-made textile materials,SQM,30197.400097,21468.74513,0.021469
57039090,Other floor covering (excluding cotton) nes,SQM,14718,6471.91596,0.006472
58019000,"Woven pile and chenille fabrics of other t  xtiles, nes",SQM,1475,191.75,0.000192
59019000,"Tracing cloth; prepared painting canvas; b  ckram, etc",SQM,25119,2018.4646,0.002018
59039000,"Textile fabrics impregnated, coated covere   or laminated with plastics,nes",SQM,12939,1021.31841,0.001021
59080000,"Textile wicks, woven,plaited or knitted fo   lamps,stovesincandescent gas mantl",Kg,4.3,15,0.000015
61013000,"Men's or boys' coats, capes, cloaks, etc,   f man-made fibres, knitted or crochet",PCS,2049,3199.086,0.003199
61021000,"Woman's or girls' coats, capes,cloaks,wind  jacket, etc, of wool, knitted or cr",PCS,4474,11535.25312,0.011535
61032900,"Men's or boys' ensembles of other textiles   nes, knitted or crocheted",PCS,658,452.83769,0.000453
61033100,"Men's or boys' jackets and blazers of wool  or fine animal hair, knitted or croch",PCS,29,871.64022,0.000872
61033900,"Men's or boys' jackets & blazers of other   extiles, nes, knitted or crocheted",PCS,4,5.22512,0.000005
61034100,"Men's or boys' trousers, bib & brace, shor  s, etc, of wool, knitted or crochet",PCS,100,1166.50365,0.001167
61034200,"Men's or boys' trousers, bib & brace, shor  s, etc, of cotton, knitted or crochet",PCS,2379,1781.75775,0.001782
61041900,"Women's or girls' suits of other textiles   aterials, nes, knitted or crocheted",PCS,2,1.524,0.000002
61042900,"Women's or girls' ensembles, of other text  les, knitted or crocheted",PCS,1,5.001,0.000005
61043100,"Women's or girls' jackets & brazers of woo   or fine animal hair, knitted or croc",PCS,7647,35728.59117,0.035729
61044100,"Woman's or girls' dresses of wool or fine   nimal hair, knitted or crocheted.",PCS,55,1122.83607,0.001123
61044200,"Woman's or girls' dresses of cotton, knitt  d or crocheted",PCS,533,1137.82482,0.001138
61045100,"Woman's or girls' skirts and divided skirt   of wool or fine hair, knitted or cro",PCS,64,948.80171,0.000949
61059000,"Men's or boys' shirts of other textiles, n  s, knitted or crocheted",PCS,79,2069.72413,0.00207
61061000,"Women's or girls' blouses, shirts & shirt-  louses of cotton, knitted or crochete",PCS,1191,620.25939,0.00062
61069000,"Women's or girls' blouses,shirt&shirt-blou  es of other textiles nes,knitted or c",PCS,1790,4127.51834,0.004128
61091000,"T-shirts, singlets and other vests, of cot  on, knitted or crocheted.",PCS,26804,34363.29722,0.034363
61099000,"T-shirts, singlets & other vests of other   extiles, nes, knitted or crocheted",PCS,599,1915.84272,0.001916
61101100,"Jerseys,pullovers,cardigans,waistcoats & s  milar articles of wool, knitted or cr",PCS,30764,133167.37413,0.133167
61101200,"Jerseys,pullovers,cardigans,waistcoats&sim  lar articles of Kashmir(cashmere) goa",PCS,150458,263313.34234,0.263313
61101900,"Other jerseys,pullovers,cardigans,waistcoa  s&similar articles,knitted or crochet",PCS,30969,21835.58841,0.021836
61102000,"Jerseys, pullovers, cardigans, waistcoats,  etc, of cotton, knitted or crocheted.",PCS,5674,8373.68142,0.008374
61109000,"Jerseys, pullovers,cardigans, waistcoats,   tc,of other textiles,nes,knitted or c",PCS,3230,30556.256,0.030556
61119000,"Babies' garments & clothing accessories of  other textiles,nes, knitted or croche",PCS,540,339.82941,0.00034
61130000,"Garments made up of knitted or crocheted f  brics of heading 5903, 5906, 5907",PCS,9968,1111.98793,0.001112
61142000,"Garments of cotton, knitted or crocheted,   es",PCS,6237,8172.17423,0.008172
61159400,Other hosiery of wool or fine animal hair   .,PR,200,1270.20875,0.00127
61161000,"Impregnated, coated, covered or laminated with plastics or rubber",PR,21,228.48266,0.000228
61169100,"Gloves, mittens and mitts, of wool or fine  animal hair, knitted or crocheted",PR,37073,32033.644,0.032034
61169200,"Gloves, mittens and mitts, of cotton, knit  ed or crocheted",PR,6426,1997.97013,0.001998
61171000,"Shawls, scarves, mufflers, mantillas, veil  , etc, knitted or crocheted",PCS,16223,55860.93434,0.055861
61178000,"Other clothing accessories, knitted or cro  heted, nes",PCS,1220,1618.245,0.001618
61179000,"Parts of garments or clothing accessories,  knitted or crocheted",PCS,209,1202.5575,0.001203
62012000,"Men's or boys' coats, capes, cloaks, jackets,etc, Of wool or fine animal hair <>62.03",PCS,65,24.7,0.000025
62013000,"Men's or boys' coats, capes, cloaks, wind jackets, etc, Of cotton other than 62.03",PCS,1015,27.51462,0.000028
62014000,"Men's or boys' coats, capes, cloaks, wind jackets, etc Of man-made fibres <> 62.03",PCS,125,4728.12,0.004728
62019000,"Men's or boys' coats, capes, cloaks, jackets, etc Of other textile material <> 62.03",PCS,750,135,0.000135
62029000,"Men's or boys' coats, capes, cloaks, jackets, etc Of other textile material <> 62.04",PCS,1990,3944.3755,0.003944
62031100,Men's or boys' suits of wool or fine anima   hair,PCS,4413,7458.8465,0.007459
62033100,Men's or boys' jackets and blazers of wool  or fine animal hair,PCS,3918,4816.95133,0.004817
62033200,Men's or boys' jackets and blazers of cott  n,PCS,6985,1634.43777,0.001634
62033300,Men's or boys' jackets and blazers of synt  etic fibres,PCS,999,3503.68574,0.003504
62033900,"Men's or boys' jackets and blazers of othe   textiles materials, nes.",PCS,1517,1042,0.001042
62034200,"Men's or boys' trousers, bib & brace overa  l, breeches & shorts of cotton",PCS,62792,23118.74479,0.023119
62034900,"Men's or boys' trousers, bib & brace overa  l, breeches & shorts of other textile",PCS,5025,5391.2,0.005391
62041900,"Women's or girls' suits of other textiles   aterials, nes",PCS,599,96.12635,0.000096
